ICPSR_ID,Congress,Party,State,District,LastName,FirstName,NumChildren,NumDaughters,NumSons,Female,AAUWrating
14873,110,D,MARYLAN,5,HOYER,Steny,3,3,0,0,100
20329,110,D,MARYLAN,2,RUPPERSBE,C.A. Dutch,2,1,1,0,100
20330,110,D,MARYLAN,8,VAN HOLLE,Chris,3,1,2,0,100
29919,110,D,MASSACH,8,CAPUANO,Michael,2,0,2,0,100
29731,110,D,MASSACH,10,DELAHUNT,William,2,2,0,0,100
20119,110,D,MASSACH,9,LYNCH,Stephen,1,1,0,0,100
15616,110,D,MASSACH,2,NEAL,Richard,4,1,3,0,100
29123,110,D,MASSACH,1,OLVER,John,1,1,0,0,100
10713,110,D,MICHIGA,14,CONYERS,John,2,0,2,0,100
29362,110,R,MICHIGA,3,EHLERS,Vernon,4,2,2,0,40
29361,110,R,MICHIGA,2,HOEKSTRA,Peter,3,2,1,0,20
14430,110,D,MICHIGA,5,KILDEE,Dale,3,1,2,0,100
29733,110,D,MICHIGA,13,KILPATRI,Carolyn,2,1,1,1,100
29365,110,R,MICHIGA,9,KNOLLENB,Joe,2,0,2,0,44
15033,110,D,MICHIGA,12,LEVIN,Sander,4,2,2,0,100
20332,110,R,MICHIGA,11,MCCOTTER,Thaddeus,3,1,2,0,60
20331,110,R,MICHIGA,10,MILLER,Candice,1,1,0,1,60
20120,110,R,MICHIGA,8,ROGERS,Mike,2,1,1,0,40
29360,110,D,MICHIGA,1,STUPAK,Bart,2,0,2,0,100
20725,110,R,MICHIGA,7,WALBERG,Timothy,3,1,2,0,30
20728,110,R,MINNESO,6,BACHMANN,Michele,5,3,2,1,10
20727,110,D,MINNESO,5,ELLISON,Keith,4,1,3,0,100
20333,110,R,MINNESO,2,KLINE,John,2,1,1,0,10
20122,110,D,MINNESO,4,MCCOLLUM,Betty,2,1,1,1,100
14265,110,D,MINNESO,8,OBERSTAR,James,6,4,2,0,100
29127,110,D,MINNESO,7,PETERSON,Colln,3,0,3,0,80
20726,110,D,MINNESO,1,WALZ,Timothy,2,1,1,0,100
29734,110,R,MISSISS,3,PICKERIN,Charles,5,1,4,0,33
15637,110,D,MISSISS,4,TAYLOR,Gene,3,2,1,0,80
29368,110,D,MISSISS,2,THOMPSON,Bennie,1,1,0,0,100
29534,110,R,MISSISS,1,WICKER,Roger,3,2,1,0,16
20123,110,R,MISSOUR,2,AKIN,W Todd,6,3,3,0,20
29735,110,R,MISSOUR,7,BLUNT,Roy,1,0,1,0,10
20516,110,D,MISSOUR,3,CARNAHAN,Russ,2,0,2,0,100
20147,110,D,MISSOUR,1,CLAY,WM Lacy,2,1,1,0,100
20517,110,D,MISSOUR,5,CLEAVER,Emanuel,4,0,0,0,100
29736,110,R,MISSOUR,8,EMERSON,Jo Ann,9,8,1,1,60
20124,110,R,MISSOUR,6,GRAVES,Sam,3,2,1,0,44
14451,110,D,MISSOUR,4,SKELTON,Ike,3,1,2,0,90
20125,110,R,MONTANA,1,REHBERG,Dennis,3,2,1,0,50
29921,110,R,NEBRASK,2,TERRY,Lee,3,0,3,0,30
29922,110,D,NEVADA,1,BERKLEY,Shelley,2,0,2,1,100
20730,110,R,NEVADA,2,HELLER,Dean,4,2,2,0,40
20334,110,R,NEVADA,3,PORTER,Jon,2,1,1,0,66
20732,110,D,NEW HAM,2,HODES,Paul,2,1,1,0,100
29132,110,D,NEW JER,1,ANDREWS,Robert,2,2,0,0,100
29541,110,R,NEW JER,11,FRELINGH,Rodney,2,2,0,0,70
20336,110,R,NEW JER,5,GARRETT,Scott,2,2,0,0,20
29923,110,D,NEW JER,12,HOLT,Rush,3,1,2,0,100
29741,110,D,NEW JER,8,PASCRELL,Bill,3,0,3,0,100
15112,110,R,NEW JER,3,SAXTON,Jim,2,1,1,0,70
20542,110,D,NEW JER,13,SIRES,Albio,1,1,0,0,100
14863,110,R,NEW JER,4,SMITH,Christopher,3,1,2,0,70
20337,110,R,NEW MEX,2,PEARCE,Stevan,1,1,0,0,44
29779,110,R,NEW MEX,1,WILSON,Heather,3,1,2,1,66
15000,110,D,NEW YOR,5,ACKERMAN,Gary,3,2,1,0,100
20338,110,D,NEW YOR,1,BISHOP,Timothy ,2,2,0,0,100
15603,110,D,NEW YOR,17,ENGEL,Eliot,3,1,2,0,100
29773,110,R,NEW YOR,13,FOSSELLA,Vito,3,1,2,0,50
20735,110,D,NEW YOR,20,GILLIBRAND,Kirsten,1,0,1,1,100
20734,110,D,NEW YOR,19,HALL,John,1,1,0,0,100
20519,110,D,NEW YOR,27,HIGGINS,Brian,2,1,1,0,100
29380,110,D,NEW YOR,22,HINCHEY,Maurice,3,1,2,0,100
29375,110,R,NEW YOR,3,KING,Peter,2,1,1,0,50
15612,110,D,NEW YOR,18,LOWEY,Nita,3,2,1,1,100
29379,110,D,NEW YOR,14,MALONEY,Carolyn,2,2,0,1,100
29744,110,D,NEW YOR,4,MCCARTHY,Carolyn,1,0,1,1,100
15614,110,D,NEW YOR,21,MCNULTY,Michael,4,4,0,0,100
29776,110,D,NEW YOR,6,MEEKS,Gregory,3,3,0,0,100
13035,110,D,NEW YOR,15,RANGEL,Charles,2,1,1,0,100
29134,110,D,NEW YOR,16,SERRANO,Jose,5,2,3,0,100
15444,110,D,NEW YOR,28,SLAUGHTE,Louise McIntosh,3,3,0,1,100
